127.0.0.1, 2015-10-23 21:17:16, GET, /Hello/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-23 21:17:16, GET, /Hello/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.041000
127.0.0.1, 2015-10-23 21:45:18, GET, /examples/default/index, HTTP/1.1, 200, 0.129000
127.0.0.1, 2015-10-23 21:45:19, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.210000
127.0.0.1, 2015-10-23 21:45:19, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.169000
127.0.0.1, 2015-10-23 21:45:19, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.171000
00
127.0.0.1, 2015-10-23 21:45:19, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.172000
127.0.0.1, 2015-10-23 21:45:19, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.172000
127.0.0.1, 2015-10-23 21:45:19, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-23 21:45:19, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-23 21:45:19, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-23 21:45:19, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-23 21:45:19, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-23 21:45:19, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-23 21:45:19, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-23 21:45:19, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-10-23 21:45:19, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.034000
1000
127.0.0.1, 2015-10-23 21:45:19, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.031000
127.0.0.1, 2015-10-23 21:45:19, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.033000
127.0.0.1, 2015-10-23 21:45:19, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-23 21:45:20, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.014000
127.0.0.1, 2015-10-23 21:45:20, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-23 21:45:20, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-23 21:45:20, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.001000
